Company Name,Location,"Employees
Affected","Layoff
Date"
"TOPA MANAGEMENT COMPANY-
HAMMER LANE",STOCKTON,4,6/30/14
"TOPA MANAGEMENT COMPANY-
HUNTINGTON VILLA YORBA",HUNTINGTON BEACH,5,6/30/14
"TOPA MANAGEMENT COMPANY-
LAKESHORE VILLA",SAN DIEGO,2,3/31/14
"TOPA MANAGEMENT COMPANY-
RANCHERIA DEL SOL",PALM SPRINGS,2,6/30/14
"TOPA MANAGEMENT COMPANY-
SHERWOOD VILLA",VICTORVILLE,2,3/31/14
"TOPA MANAGEMENT COMPANY-
SULLIVAN MANOR",SANTA ANA,2,6/30/14
"TOPA MANAGEMENT COMPANY-
WILLOW VILLAGE",RIALTO,4,3/31/14
"TRACFONE WIRELESS, INC.",IRVINE,7,1/16/14
"TRANSFIELD SERVICES MNGMNT 
(CARSON OPERATIONS)",CARSON,126,2/14/14
TRANSTAR INDUSTRIES INC,"RANCHO 
CUCAMONGA",56,6/10/14
"TRIUS THERAPEUTICS, INC.",SAN DIEGO,26,3/31/14
"U.S. AVIATION SERVICES CORP-LA 
INTNTL AIRPORT",LOS ANGELES,237,5/1/14
"UNITED AIRLINES, INC.",LOS ANGELES,78,4/1/14
"UNITED AIRLINES, INC.",SAN FRANCISCO,164,4/1/14
"UNITED SPIRAL PIPE, LLC",PITTSBURG,50,2/16/14
UPS-NORTH BAY(RICHMOND) HUB,RICHMOND,1073,3/1/14
USS-POSCO,PITTSBURG,690,1/14/14
UTC AEROSPACE SYSTEMS,CHULA VISTA,69,2/11/14
"VALENCIA K, LLC DBA VALENCIA KIA",VALENCIA,40,5/5/14
VALMARK INTERFACE SOLUTIONS,LIVERMORE,46,3/31/14
VERIZON WIRELESS-FOLSOM,FOLSOM,346,7/5/14
VERIZON WIRELESS-IRVINE,IRVINE,1092,5/8/14
"VOSE TECHNICAL SYSTEMS, INC.",FORT IRWIN,59,3/31/14
"WALLENIUS WILHELMSEN LOGISTICS 
AMERICUS, LLC",WILMINGTON,158,4/19/14
WEBSENSE,SAN DIEGO,194,5/5/14
WELLS FARGO,SAN BERNARDINO,9,1/12/14
WEST COVINA TOYOTA SCION,WEST COVINA,100,6/8/14
ZYNGA INC.,SAN FRANCISCO,194,1/30/14
ZYNGA INC.,SAN FRANCISCO,194,1/30/14
ZYNGA INC.,SANTA CLARA,1,1/30/14
ZYNGA INC.,SANTA CLARA,1,1/30/14
ZYNGA INC.,SANTA CLARA,5,1/30/14
"ACTAVIS, INC. (FORMERLY WATSON 
PHARMACEUTICALS)",CORONA,15,7/1/13
"AERO-ELECTRIC, INC (CONESYS)",TORRANCE,142,5/9/13
"AEROTEK, INC.",OXNARD,164,8/17/13
"AFFYMAX, INC",PALO ALTO,227,5/18/13
ALBERTSONS,LONG BEACH,62,2/10/13
ALBERTSONS,SANTA MONICA,56,2/6/13
ALBERTSONS,SANTA MONICA,56,2/6/13
ALERE,SAN DIEGO,97,9/25/13
"ALL STATE PROMOTIONS, INC",CONCORD,104,1/31/13
"ALL STATE PROMOTIONS, INC",LONG BEACH,85,1/31/13
"ALL STATE PROMOTIONS, INC",SAN DIEGO,33,1/31/13
ALTA RESOURCES,BREA,113,4/28/13
"AMERICAN AUTOMOBILE 
ASSOCIATION (AAA)",EL CERRITO,7,3/11/13
"AMERICAN AUTOMOBILE 
ASSOCIATION (AAA)",SAN BRUNO,6,3/11/13
"AMERICAN AUTOMOBILE 
ASSOCIATION (AAA)",SAN JOSE,6,3/11/13
"AMERICAN AUTOMOBILE 
ASSOCIATION (AAA)",SAN JOSE,7,3/11/13
"AMERICAN AUTOMOBILE 
ASSOCIATION (AAA)",SAN LEANDRO,8,3/11/13
"AMERICAN AUTOMOTIVE 
ASSOCIATION (AAA)",UNION CITY,7,3/11/13
"AMERICAN MEDICAL RESPONSE 
WEST-NON-EMERGENCY IFT",BURLINGAME,43,12/13/13
"AMERICAN MEDICAL RESPONSE 
WEST-NON-EMERGENCY IFT",CONCORD,30,12/13/13
"AMERICAN MEDICAL RESPONSE 
WEST-NON-EMERGENCY IFT",SAN RAFAEL,34,12/13/13
"AMERICAN SUZUKI MOTOR 
CORPORATION",BREA,187,3/14/13
AMGEN INC,THOUSAND OAKS,68,12/31/13
AMGEN(THOUSAND OAKS),THOUSAND OAKS,157,4/30/13
AMS FULFILLMENT,VALENCIA,200,6/14/13
"ANATOMIC HOLDINGS AND ANATOMIC 
OPERATIONS, INC",CORONA,41,4/17/13
ANDREWS INTERNATIONAL LLC,CUPERTINO,66,11/2/13
APPLIED MATERIALS,SANTA CLARA,1,2/13/13
APPLIED MATERIALS,SANTA CLARA,21,2/13/13
APPLIED MATERIALS,SANTA CLARA,21,2/13/13
APPLIED MATERIALS,SANTA CLARA,3,2/13/13
APPLIED MATERIALS,SANTA CLARA,9,2/13/13
APPLIED MATERIALS,SANTA CLARA,11,2/13/13
APPLIED MATERIALS,SUNNYVALE,34,2/13/13
APPLIED MATERIALS INC,SANTA CLARA,3,5/12/13
APPLIED MATERIALS INC,SANTA CLARA,4,5/12/13
APPLIED MATERIALS INC,SANTA CLARA,1,5/12/13
APPLIED MATERIALS INC,SUNNYVALE,1,5/12/13
"APPLIED MATERIALS, INC",SANTA CLARA,3,11/17/13
"APPLIED MATERIALS, INC",SANTA CLARA,6,11/17/13
"APPLIED MATERIALS, INC",SANTA CLARA,4,11/17/13
"APPLIED MATERIALS, INC",SANTA CLARA,11,11/17/13
"APPLIED MATERIALS, INC",SANTA CLARA,4,11/17/13
"APPLIED MATERIALS, INC",SANTA CLARA,8,11/17/13
"APPLIED MATERIALS, INC",SUNNYVALE,5,11/17/13
"APPLIED MATERIALS, INC.",SANTA CLARA,1,8/30/13
"APPLIED MATERIALS, INC.",SANTA CLARA,2,8/30/13
"APPLIED MATERIALS, INC.",SANTA CLARA,2,8/30/13
"ARAMARK HEALTHCARE 
TECHNOLOGIES - PACIFIC HOSP",LONG BEACH,2,10/9/13
"ARAMARK HEALTHCARE-PACIFIC 
HOSP OF LONG BEACH",LONG BEACH,88,10/10/13
"ARAMARK SPORTS & 
ENTERTAINMENT LLC-HONDA 
CENTER",ANAHEIM,568,6/30/13
"ARAMARK SPORTS & 
ENTERTAINMENT-ANGEL STADIUM",ANAHEIM,1088,10/2/13
"ARAMARK SPORTS & 
ENTERTAINMENT-LA CONVENTION 
CTR.",LOS ANGELES,621,12/31/13
ARCHSTONE,SANTA ANA,56,2/25/13
AREVA NP INC,MOUNTAIN VIEW,2,10/22/13
AREVA SOLAR INC,MOUNTAIN VIEW,5,7/16/13
"AREVA SOLAR, INC.",MOUNTAIN VIEW,1,8/27/13
ARVATO DIGITAL SERVICES,VALENCIA,41,2/7/13
"ASIG (AIRCRAFT SERVICE 
INTERNATIONAL GROUP)",LOS ANGELES,90,11/30/13
"AT&T'S GLOBAL BUSINESS 
SOLUTIONS",ANAHEIM,115,4/15/13
"AT&T'S GLOBAL BUSINESS 
SOLUTIONS",TUSTIN,66,4/6/13
ATLANTIC EXPRESS OF CALIFORNIA,LONG BEACH,160,12/31/13
"ATLANTIC EXPRESS OF L.A., INC",LOS ANGELES,307,12/31/13
AVERY PRODUCTS CORPORATION,BREA,75,7/8/13
AVNET INTEGRATED,SIMI VALLEY,68,12/27/13
"AVNET INTEGRATED COMPANY 
(NEXICORE SERVICES)",SIMI VALLEY,108,7/6/13
BAE SYSTEMS,SAN DIEGO,81,7/6/13
BAE SYSTEMS,SAN FRANCISCO,169,2/8/13
BAE SYSTEMS,SAN FRANCISCO,120,4/9/13
BAE SYSTEMS,SAN FRANCISCO,137,6/3/13
BAE SYSTEMS,SAN FRANCISCO,109,7/31/13
BAE SYSTEMS,SAN FRANCISCO,165,9/23/13
BAE SYSTEMS,SAN FRANCISCO,155,11/19/13
BAE SYSTEMS-SAN DIEGO,SAN DIEGO,99,6/6/13
"BAE SYSTEMS-SAN DIEGO SHIP 
REPAIR",SAN DIEGO,302,4/7/13
BANK OF AMERICA,BREA,51,1/29/13
BANK OF AMERICA,CONCORD,37,12/22/13
BANK OF AMERICA,FRESNO,543,8/31/13
BANK OF AMERICA,LANCASTER,61,1/29/13
BANK OF AMERICA,RANCHO CORDOVA,57,4/2/13
BANK OF AMERICA,RANCHO CORDOVA,110,12/22/13
BANK OF AMERICA,SAN JOSE,108,12/22/13
BANK OF AMERICA,SIMI VALLEY,51,1/29/13
"BANK OF AMERICA-LA CHECK AND 
PROOF OPERATIONS",LOS ANGELES,150,5/1/13
BANK OF AMERICAN,CONCORD,52,12/22/13
BAYER HEALTH CARE,SUNNYVALE,6,11/19/13
BAYER HEALTHCARE,MOUNTAIN VIEW,63,8/31/13
BAYER HEALTHCARE LLC,EMERYVILLE,153,6/30/13
BAYER HEALTHCARE LLC,EMERYVILLE,187,9/1/13
"BAYVIEW BERRY FARMS, LLC",OXNARD,89,5/24/13
"BCI COCA-COLA BOTTLING COMPANY 
OF LOS ANGELES",SAN DIEGO,92,11/8/13
BECHTEL POWER CORPORATION,SANTA MARGARITA,40,3/29/13
"BECHTEL POWER CORPORATION 
(CATALINA SOLAR PRJT)",MOJAVE,32,3/3/13
"BECHTEL POWER CORPORATION 
(RUSSEL CTY ENERGY CTR)",HAYWARD,72,3/15/13
BELL-CARTER OLIVE COMPANY,CORNING,150,6/8/13
BERKELEY HEARTLAB,ALAMEDA,19,6/30/13
BERKELEY HEARTLAB,ALAMEDA,32,7/31/13
BERKELEY HEARTLAB,ALAMEDA,28,8/31/13
BERKELEY HEARTLAB,ALAMEDA,1,9/30/13
BERKELEY HEARTLAB,ALAMEDA,3,10/31/13
BERKELEY HEARTLAB,ALAMEDA,1,12/31/13
BERKELEY HEARTLAB,"SOUTH SAN 
FRANCISCO",29,6/30/13
BERKELEY HEARTLAB,"SOUTH SAN 
FRANCISCO",2,7/31/13
BERKELEY HEARTLAB,"SOUTH SAN 
FRANCISCO",2,8/31/13
BERKELEY HEARTLAB,"SOUTH SAN 
FRANCISCO",6,9/30/13
BERKELEY HEARTLAB,"SOUTH SAN 
FRANCISCO",1,10/31/13
BERKELEY HEARTLAB,"SOUTH SAN 
FRANCISCO",8,12/31/13
BIMBO BAKERIES (SUN VALLEY),SUN VALLEY,30,1/1/13
"BIMBO BAKERIES USA, INC",ELK GROVE,112,11/8/13
"BIMBO BAKERIES USA, INC (ANAHEIM)",ANAHEIM,34,1/1/13
"BIMBO BAKERIES USA, INC (EL 
SEGUNDO)",EL SEGUNDO,31,1/1/13
"BLACKBAUD, INC",SAN DIEGO,101,6/30/13
BLUE SHIELD OF CALIFORNIA,EL DORADO HILLS,7,1/16/13
BLUE SHIELD OF CALIFORNIA,EL SEGUNDO,5,1/16/13
BLUE SHIELD OF CALIFORNIA,SAN DIEGO,3,1/16/13
BLUE SHIELD OF CALIFORNIA,SAN FRANCISCO,46,1/16/13
BLUE SHIELD OF CALIFORNIA,SAN JOSE,1,1/16/13
BLUE SHIELD OF CALIFORNIA,WOODLAND HILLS,6,1/16/13
BOEING COMPANY,ANAHEIM,3,9/27/13
BOEING COMPANY,ANAHEIM,1,11/22/13
BOEING COMPANY,EL SEGUNDO,19,10/25/13
BOEING COMPANY,EL SEGUNDO,5,11/22/13
BOEING COMPANY,EL SEGUNDO,1,12/13/13
BOEING COMPANY,HUNTINGTON BEACH,35,4/19/13
BOEING COMPANY,HUNTINGTON BEACH,1,9/27/13
BOEING COMPANY,HUNTINGTON BEACH,31,10/25/13
BOEING COMPANY,HUNTINGTON BEACH,14,11/22/13
BOEING COMPANY,HUNTINGTON BEACH,19,12/13/13
BOEING COMPANY,LONG BEACH,30,10/25/13
BOEING COMPANY,LONG BEACH,2,11/22/13
BOEING COMPANY,LONG BEACH,11,12/13/13
BOEING COMPANY-EL SEGUNDO,EL SEGUNDO,7,9/20/13
BOEING COMPANY-HUNTINGTON BCH,HUNTINGTON BEACH,34,9/20/13
BOEING COMPANY-LONG BEACH,LONG BEACH,10,9/20/13
"BON APPETIT MANAGEMENT 
COMPANY AT CISCO",SAN JOSE,188,3/8/13
"BOSKOVICH FARMS, INC (ADOHR 
RANCH)",CAMARILLO,6,6/15/13
"BRIDGEPOINT EDUCATION, INC.",SAN DIEGO,47,8/19/13
BROADCOM CORPORATION,IRVINE,84,12/20/13
BROADCOM CORPORATION,SAN DIEGO,68,12/20/13
BROADCOM CORPORATION,SAN JOSE,17,12/20/13
BROADCOM CORPORATION,SANTA CLARA,16,12/20/13
BROADCOME CORPORATION,SANTA CLARA,11,12/20/13
BROADCOME CORPORATION,SUNNYVALE,64,12/20/13
"BROCADE COMMUNICATIONS 
SYSTEMS, INC",SAN JOSE,130,11/4/13
"BROOKSHIRE TOOL & MFG. COMPANY 
INC",SOUTH GATE,20,11/8/13
BURRTEC WASTE INDUSTRIES,BARSTOW,10,6/30/13
BURRTEC WASTE INDUSTRIES,BIG BEAR CITY,8,6/30/13
BURRTEC WASTE INDUSTRIES,COLTON,3,6/30/13
BURRTEC WASTE INDUSTRIES,LANDERS,8,6/30/13
BURRTEC WASTE INDUSTRIES,LUCERNE VALLEY,2,6/30/13
BURRTEC WASTE INDUSTRIES,MORONGO VALLEY,1,6/30/13
BURRTEC WASTE INDUSTRIES,"NEWBERRY 
SPRINGS",1,6/30/13
BURRTEC WASTE INDUSTRIES,PHELAN,7,6/30/13
BURRTEC WASTE INDUSTRIES,REDLANDS,11,6/30/13
BURRTEC WASTE INDUSTRIES,RIALTO,30,6/30/13
BURRTEC WASTE INDUSTRIES,RUNNING SPRINGS,12,6/30/13
BURRTEC WASTE INDUSTRIES,SAN BERNARDINO,10,6/30/13
BURRTEC WASTE INDUSTRIES,"TWENTY-NINE 
PALMS",5,6/30/13
BURRTEC WASTE INDUSTRIES,VICTORVILLE,22,6/30/13
"CABLOFIL, INC.",PICO RIVERA,27,9/27/13
"CALIFORNIA CITY CORRECTIONAL 
CENTER",CALIFORNIA CITY,296,11/23/13
"CALIFORNIA MUSHROOM FARM, INC",VENTURA,415,9/10/13
"CALIFORNIA REDWOOD COMPANY-
KORBEL MFG FACILITY",KORBEL,155,3/25/13
"CALIPER LIFE SCIENCES, INC.",ALAMEDA,60,8/27/13
"CALIPER LIFE 
SCIENCES/PERKINELMER HEALTH 
SCIENCES",MOUNTAIN VIEW,47,6/5/13
"CAMPBELL SOUP SUPPLY COMPANY, 
LLC",SACRAMENTO,290,2/1/13
"CAMPBELLS SOUP SUPPLY 
COMPANY, LLC",SACRAMENTO,320,5/1/13
"CAMPBELLS SOUP SUPPLY 
COMPANY, LLC",SACRAMENTO,150,7/1/13
CASCADE LOGISTICS LLC,TRACY,36,5/15/13
CASHCALL INC,ANAHEIM,486,12/1/13
CASHCALL INC,ORANGE,283,12/1/13
"CBNB/MAGELLAN, LLC",CARPINTERIA,24,1/1/13
CEDARS-SINAI MEDICAL CENTER,LOS ANGELES,113,8/3/13
"CENTURY GAMING MNGMNT D/B/A/ 
HOLLYWOOD PARK CASINO",INGLEWOOD,600,3/4/13
"CERADYNE, INC",COSTA MESA,90,7/31/13
CHAMINADE RESORT & SPA,SANTA CRUZ,180,1/1/13
CHEVRON,SAN RAMON,6,6/1/13
CHEVRON,SAN RAMON,394,8/1/13
CHROMALLOY,GARDENA,108,12/31/13
CIRCOR AEROSPACE,SYLMAR,51,4/15/13
CIRQUE DU SOLEIL (IRIS),HOLLYWOOD,105,1/29/13
CISCO SYSTEMS INC,SAN JOSE,899,10/18/13
"CISCO SYSTEMS, INC",SAN JOSE,11,4/22/13
"CISCO SYSTEMS, INC",SAN JOSE,182,5/28/13
"CITIBANK, N.A.",WEST SACRAMENTO,153,6/3/13
CITY NATIONAL BANK,CITY OF INDUSTRY,6,2/15/13
CITY NATIONAL BANK,SAN FRANCISCO,3,2/15/13
CITYGRID MEDIA,WEST HOLLYWOOD,108,8/25/13
"CLIPPER WINDPOWER, LLC",CARPINTERIA,69,1/8/13
"CLIPPER WINDPOWER, LLC.",CARPINTERIA,16,4/30/13
"COCA-COLA BOTTLING COMPANY , 
INC (SAC)",SACRAMENTO,56,6/14/13
"COCA-COLA BOTTLING COMPANY, 
INC",WEST SACRAMENTO,6,6/14/13
"CODA AUTOMOTIVE, INC.",LOS ANGELES,53,7/22/13
"COLLEEN STRAWBERRIES (EKT 
FARMS)",WATSONVILLE,245,4/1/13
COLORADO RIVER MEDICAL CENTER,NEEDLES,99,5/24/13
COLORADO RIVER MEDICAL FACILITY,NEEDLES,102,2/19/13
COMCAST,TRACY,87,9/28/13
"COMMUNITY DEVELOPMENT 
INSTITUTE HEAD START",LOS ANGELES,146,7/31/13
"COMMUNITY DEVELOPMENT 
INSTITUTE HEAD START",PASADENA,226,7/31/13
"CONTINENTAL MARITIME OF SAN 
DIEGO",SAN DIEGO,185,4/12/13
"COOPER LIGHTING, LLC",VAN NUYS,77,5/6/13
CORELOGIC TAX SERVICES,LANCASTER,74,12/15/13
CORIX UTILITIES (US) INC,GARDEN GROVE,10,1/31/13
CORIX UTILITIES (US) INC,ONTARIO,1,1/30/13
COVIDIEN DISTRIBUTION CENTER,ONTARIO,6,8/29/13
CSC APLIED TECHNOLOGY DIVISION,PALMDALE,67,6/30/13
"CSC ATD DRYDEN FLIGHT RESEARCH 
CENTER",EDWARDS,78,6/30/13
"CUMMINS WEST, INC.",BAKERSFIELD,34,9/28/13
"CUMMINS WEST, INC.",FRESNO,43,9/28/13
"CUMMINS WEST, INC.",REDDING,12,9/28/13
"CUMMINS WEST, INC.",SAN LEANDRO,144,9/28/13
"CUMMINS WEST, INCL",ARCATA,11,9/28/13
"CUMMINS WEST, INCL",WEST SACRAMENTO,60,9/28/13
DEDICATED MANAGEMENT GROUP,SAN BERNARDINO,50,11/9/13
"DELAWARE NO.COMPANIES TRAVEL 
HOSPITALITY SERVICES",LOS ANGELES,66,12/1/13
"DELAWARE NO.COMPANIES TRAVEL 
HOSPITALITY SERVICES",LOS ANGELES,42,12/31/13
"DELL SERVICES-NASA AMES 
RESEARCH CENTER",MOFFETT FIELD,118,9/30/13
DELUXE LABORATORIES,LOS ANGELES,79,6/3/13
"DHL EXPRESS (USA)(SF 
INTERNATIONAL AIRPORT)",SAN FRANCISCO,83,4/19/13
DIGNITY HEALTH,CAMERON PARK,3,6/24/13
DIGNITY HEALTH,CARMICHAEL,31,6/24/13
DIGNITY HEALTH,CARMICHAEL,12,6/24/13
DIGNITY HEALTH,EL DORADO HILLS,1,6/24/13
DIGNITY HEALTH,ELK GROVE,3,6/24/13
DIGNITY HEALTH,FOLSOM,3,6/24/13
DIGNITY HEALTH,FOLSOM,12,6/24/13
DIGNITY HEALTH,RANCHO CORDOVA,9,6/24/13
DIGNITY HEALTH,ROCKLIN,1,6/24/13
DIGNITY HEALTH,ROSEVILLE,1,6/24/13
DIGNITY HEALTH,SACRAMENTO,19,6/24/13
DIGNITY HEALTH,SACRAMENTO,3,6/24/13
DIGNITY HEALTH,SACRAMENTO,1,6/24/13
DIGNITY HEALTH,SACRAMENTO,1,6/24/13
DIGNITY HEALTH,SACRAMENTO,1,6/24/13
DIGNITY HEALTH,SACRAMENTO,1,6/24/13
DIGNITY HEALTH,SACRAMENTO,37,6/24/13
DIGNITY HEALTH,SACRAMENTO,9,6/24/13
"DIGNITY HEALTH (WEST BAY 
FINANCIAL SVCS)",SAN MATEO,70,4/1/13
DIGNITY HEALTH-STOCKTON,LATHROP,1,6/24/13
DIGNITY HEALTH-STOCKTON,LODI,7,6/24/13
DIGNITY HEALTH-STOCKTON,MANTECA,6,6/24/13
DIGNITY HEALTH-STOCKTON,MERCED,1,6/24/13
DIGNITY HEALTH-STOCKTON,MERCED,54,6/24/13
DIGNITY HEALTH-STOCKTON,MODESTO,1,6/24/13
DIGNITY HEALTH-STOCKTON,SAN ANDREAS,9,6/24/13
DIGNITY HEALTH-STOCKTON,STOCKTON,5,6/24/13
DIGNITY HEALTH-STOCKTON,STOCKTON,1,6/24/13
DIGNITY HEALTH-STOCKTON,STOCKTON,1,6/24/13
DIGNITY HEALTH-STOCKTON,STOCKTON,206,6/24/13
DIGNITY HEALTH-STOCKTON,STOCKTON,1,6/24/13
DIGNITY HEALTH-STOCKTON,STOCKTON,4,6/24/13
DIGNITY HEALTH-STOCKTON,STOCKTON,1,6/24/13
DIGNITY HEALTH-STOCKTON,STOCKTON,15,6/24/13
DIGNITY HEALTH-STOCKTON,STOCKTON,3,6/24/13
DIGNITY HEALTH-STOCKTON,TRACY,4,6/24/13
"DIRECTORY DISTRIBUTING 
ASSOCIATES",COMMERCE,28,1/27/13
"DIRECTORY DISTRIBUTING 
ASSOCIATES",HAYWARD,17,1/27/13
"DIRECTORY DISTRIBUTING 
ASSOCIATES",MERCED,42,1/27/13
DIRECTV,COMPTON,1,12/20/13
DIRECTV,CUPERTINO,9,12/20/13
DIRECTV,EL SEGUNDO,66,12/20/13
DIRECTV,LOS ANGELES,13,12/20/13
DIRECTV,SYLMAR,1,12/20/13
DISCOVER FINANCIAL SERVICES,IRVINE,74,12/12/13
"DNC PARKS & RESORTS AT SEQUOIA, 
INC.","SEQUOIA NATIONAL 
PAR",55,10/4/13
"DNC PARKS & RESORTS AT SEQUOIA, 
INC.","SEQUOIA NATIONAL 
PAR",13,10/14/13
"DNC PARKS & RESORTS AT 
YOSEMITE, INC","YOSEMITE 
NATIONAL PA",1396,11/15/13
DTT,LOS ANGELES,64,10/1/13
EL CAMINO HOSPITAL,MOUNTAIN VIEW,56,8/1/13
EL CAMINO HOSPITAL,SAN JOSE,34,8/1/13
EL CAMINO HOSPITAL,SAN JOSE,55,8/1/13
ELECTRONIC ARTS INC,PLAYA VISTA,59,12/30/13
ELECTRONIC ARTS INC,REDWOOD CITY,65,6/10/13
ELITE SLIDES INC,LYNWOOD,78,11/30/13
EMQ FAMILIES FIRST,DAVIS,42,9/20/13
"EMQ FAMILIES FIRST-DAVIS CAMPUS 
SITE",DAVIS,77,7/31/13
ERNEST GALLO CLINIC,EMERYVILLE,17,6/30/13
ERNEST GALLO CLINIC,EMERYVILLE,2,7/31/13
ERNEST GALLO CLINIC,EMERYVILLE,3,8/31/13
ERNEST GALLO CLINIC,EMERYVILLE,3,9/30/13
"EVERGREEN INTERNATIONAL 
AVIATION, INC (EAGLE)",LOS ANGELES,182,1/31/13
"FAMSA, INC",SANTA FE SPRINGS,76,4/12/13
FCI FEDERAL,SAN FRANCISCO,19,6/14/13
"FEDEX FREIGHT, INC.",LOS ANGELES,65,7/13/13
"FEDEX FREIGHT, INC.",VERNON,54,7/13/13
"FIRST CALIFORNIA BANK-WESTLAKE 
VILLAGE CORP OFFICE",WESTLAKE VILLAGE,55,4/1/13
FIRST HUNAN RESTAURANT INC,PLEASANTON,5,4/1/13
FIRST MEDICAL MANAGEMENT,LONG BEACH,6,10/29/13
FIRST MEDICAL MANAGEMENT,LONG BEACH,18,10/29/13
FIRST MEDICAL MANAGEMENT,NEWPORT BEACH,14,10/29/13
FIRST MEDICAL MANAGEMENT,TEMECULA,5,10/29/13
FIRST MEDICAL MANAGEMENT,VAN NUYS,19,10/29/13
FISKER AUTOMOTIVE INC,ANAHEIM,160,4/5/13
"FOUNDATION FOR EARLY 
CHILDHOOD EDUCATION, INC",EL MONTE,285,6/15/13
FRY'S ELECTRONICS INC,SAN JOSE,163,3/15/13
"G4S GOVERNMENT SOLUTIONS, INC",FREMONT,13,9/30/13
"G4S GOVERNMENT SOLUTIONS, INC",LOS ANGELES,10,9/30/13
"G4S GOVERNMENT SOLUTIONS, INC",MATHER,13,9/30/13
"G4S GOVERNMENT SOLUTIONS, INC",PALMDALE,12,9/30/13
"G4S GOVERNMENT SOLUTIONS, INC",SAN DIEGO,13,9/30/13
"G4S GOVERNMENT SOLUTIONS, INC","SOUTH SAN 
FRANCISCO",13,9/30/13
"G4S GOVERNMENT SOLUTIONS, INC.",OAKLAND AIRPORT,13,7/17/13
"GARGIULO, INC",SOMIS,677,4/1/13
"GCA SERVICES GROUP-ADVANTAGE 
RENT A CAR LAX SITE",INGLEWOOD,46,4/1/13
GENCO,FONTANA,72,3/2/13
GENE WATSON CONSTRUCTION,FELLOWS,316,6/2/13
GENE WATSON CONSTRUCTION,TAFT,15,6/2/13
"GOLDEN ACRE FARMS, INC",THERMAL,200,7/1/13
GOODBY SILVERSTEIN & PARTNERS,SAN FRANCISCO,51,7/15/13
GOODBY SILVERSTEIN & PARTNERS,SAN FRANCISCO,47,12/31/13
"GOOGLE, INC (RANSTAD'S TEMP EES)",MOUNTAIN VIEW,84,9/13/13
"GRASS VALLEY USA, LLC",SAN FRANCISCO,27,9/30/13
"GREEN MOUNTAIN COFFEE 
ROASTERS",CASTROVILLE,74,5/13/13
GSC LOGISTICS,OAKLAND,57,5/3/13
GSC LOGISTICS,OAKLAND,2,5/3/13
HEALTH NET,SAN DIEGO,33,7/5/13
HERRICK CORPORATION,SAN BERNARDINO,140,9/16/13
HEWLETT-PACKARD COMPANY,PALO ALTO,102,3/8/13
HEWLETT-PACKARD COMPANY,PALO ALTO,14,3/29/13
HILLSIDES EDUCATION CENTER,PASADENA,82,6/28/13
HILTON SAN DIEGO MISSION VALLEY,SAN DIEGO,148,3/21/13
HOF'S HUT MARINA,LONG BEACH,75,3/1/13
HOLLYWOOD PARK RACETRACK,INGLEWOOD,539,12/22/13
"HORIZON PERSONNEL 
SERVICES@GSC LOGISTICS",OAKLAND,74,5/3/13
"HOTEL ZOSO (KITTRIDGE HOTEL 
MANAGEMENT LLC)",PALM SPRINGS,98,7/7/13
HSBC,POMONA,75,4/6/13
HYATT REGENCY IRVINE,IRVINE,327,12/15/13
"IMPAX LABORATORIES, INC.",HAYWARD,132,8/4/13
"IMPAX LABORATORIES, INC.",HAYWARD,8,8/4/13
"IMPAX LABORATORIES, INC.",HAYWARD,1,8/4/13
"IMPAX LABORATORIES, INC.",HAYWARD,2,8/4/13
"INTEGRATED TITLE, INC.",GLENDALE,8,2/15/13
INTERANTIONAL PAPER COMPANY,EL CENTRO,4,12/18/13
"INTERNATIONAL BUSINESS 
MACHINES CORPORATION",SAN JOSE,71,8/12/13
"INTERNATIONAL BUSINESS 
MACHINES CORPORATION",SAN JOSE,64,8/12/13
"INTERNATIONAL BUSINESS 
MACHINES CORPORATION",SAN JOSE,68,8/12/13
INTERNATIONAL PAPER COMPANY,EL CENTRO,98,9/20/13
INTERNATIONAL PAPER COMPANY,EL CENTRO,2,11/14/13
INTERNATIONAL PAPER COMPANY,EL CENTRO,3,11/22/13
INTERNATIONAL PAPER COMPANY,EL CENTRO,3,12/2/13
INTERNATIONAL PAPER COMPANY,MODESTO,19,2/5/13
INTERNATIONAL PAPER COMPANY,MODESTO,136,5/1/13
INTERSIL,MILPITAS,72,2/20/13
INTERSIL,SAN DIEGO,1,2/20/13
INTUIT INC,MOUNTAIN VIEW,10,11/11/13
INTUIT INC,SAN DIEGO,1,11/11/13
INTUIT INC,SAN FRANCISCO,3,11/11/13
INTUIT INC,WOODLAND HILLS,6,1/3/13
INTUIT INC.,MENLO PARK,6,7/29/13
INTUIT INC.,MENLO PARK,14,9/9/13
INTUIT INC.,MOUNTAIN VIEW,1,1/4/13
INTUIT INC.,MOUNTAIN VIEW,1,7/29/13
INTUIT INC.,MOUNTAIN VIEW,29,9/9/13
INTUIT INC.,SAN DIEGO,2,7/29/13
INTUIT INC.,SAN DIEGO,21,9/9/13
INTUIT INC.,SAN FRANCISCO,3,9/9/13
INTUIT INC.,WOODLAND HILLS,65,9/9/13
"INTUIT, INC.",SAN DIEGO,3,9/23/13
"INTUIT, INC.",SAN FRANCISCO,1,9/23/13
"INTUIT, INC.",WESTLAKE VILLAGE,28,9/23/13
"INTUIT, INC.",WOODLAND HILLS,5,9/23/13
"INTUIT,INC.",MENLO PARK,10,9/23/13
